Date,FRED/DEXUSAL,FRED/DEXBZUS,FRED/DEXUSUK,FRED/DEXCAUS,FRED/DEXCHUS,FRED/DEXDNUS,FRED/DEXUSEU,FRED/DEXHKUS,FRED/DEXINUS,FRED/DEXJPUS,FRED/DEXMAUS,FRED/DEXMXUS,FRED/DEXTAUS,FRED/DEXUSNZ,FRED/DEXNOUS,FRED/DEXSIUS,FRED/DEXSFUS,FRED/DEXKOUS,FRED/DEXSDUS,FRED/DEXSZUS,FRED/DEXTHUS,FRED/DEXVZUS
2001,0.12017228789042997,0.17026683543206295,0.07825263135680398,0.05694730724507638,0.001964178736340182,0.10633926655785496,0.10590080029240516,0.0007458794429066224,0.040949626349888114,0.09269818887086755,0.000317297773619511,0.0739989396651649,0.03534322543525202,0.11750708595865357,0.0902692666240042,0.043289117156007986,0.18665009652367803,0.07752980618364676,0.11508756311669356,0.10638872984857838,0.045727452948734655,0.024624474879881616
2002,0.08578572317541582,0.2476046644359468,0.06701853389813534,0.058008459419019866,0.001533908547433928,0.08693729167217257,0.08700662915681537,0.0018952302730048847,0.011966554652695562,0.10117356842410453,0.00036636706838292246,0.07618288666795453,0.030211808421375753,0.09984901220825973,0.09242641747057853,0.04308010447239749,0.17960210652058914,0.07515557370748659,0.09434902213792676,0.0940967529311867,0.054112968126677145,0.4247311506509498
2003,0.1034616563718206,0.1463208836676292,0.07718301604296657,0.08784839816776153,0.0011665898162370326,0.09685274693461345,0.0959163834206749,0.008490060362733594,0.02441892323400615,0.08461238703299634,0.0,0.09110302880443404,0.02305237422852313,0.09944804488005154,0.11183728797868508,0.043141676571169116,0.1993976777033243,0.0793887650026455,0.10549679077091668,0.10703036460493956,0.044970815716258015,0.23361704931024097
2004,0.1397969095519903,0.10019958869833616,0.10069705066739658,0.0896653888393642,0.00022018024111180998,0.1073073128199925,0.10526423691552726,0.005108712887013961,0.04843427029629598,0.09930894337368881,0.0,0.06947741408373474,0.048395187067226196,0.14285896422752936,0.12147260169295448,0.04793196470357142,0.20074857958874875,0.06510569891463219,0.11621717493898516,0.12116952989961488,0.045345350759299935,0.19620160346990342
2005,0.09374766197608386,0.14195433584715125,0.08140640012779946,0.0801872253048718,0.019826647178294434,0.08702262703249232,0.08721139677650491,0.0035053902454247315,0.03523825339928101,0.08877974299146843,0.010533692386948366,0.06011592586823232,0.05315503712381749,0.10495456089186826,0.10125976121913757,0.0445335025816884,0.1552903922571174,0.06989758386641974,0.09927500034084744,0.0964835832095221,0.04569509845046529,0.11792232850306368
2006,0.07983390027196777,0.130884746808629,0.07640764690331567,0.06836227196255495,0.010690450795669774,0.07289218103057925,0.07286893837859823,0.003720864080117407,0.047037069706830775,0.08008802762443434,0.03892919542085091,0.07065565484287138,0.04858690549617917,0.10446242647432627,0.09745129409730686,0.04005610132549057,0.1500624023302144,0.06394317403167239,0.09158571926991192,0.08597112592936886,0.06586154999779267,0.000815076557662818
2007,0.11418859183489574,0.1288446485256336,0.0648391218937098,0.08746745994925423,0.01764018019167608,0.057469631096745265,0.057508385195513045,0.0068831726334123286,0.07061665106691627,0.08802022674829017,0.0466858570392982,0.054714158758771614,0.02651542291822043,0.1374261010093643,0.091838643892037,0.037183670563686266,0.13202955616783213,0.046404846678639845,0.08256231842186386,0.06703010054071708,0.12523036204008428,0.0
2008,0.266972901371796,0.3026578309630824,0.14877221545337613,0.16558099198829165,0.030409967265068952,0.1398948767148471,0.13992426372393404,0.006616849818380957,0.11535121031473905,0.15156504664810597,0.06978816954683194,0.1919949904519212,0.06595889492846338,0.2164201148524196,0.19245763602867177,0.07269636421823909,0.27353684130407446,0.2830734040431816,0.18361825043107866,0.14790704556733128,0.09403975246221728,0.0
2009,0.18679871717722074,0.16396895426709698,0.1538055859033693,0.13886180343349117,0.005908642082763576,0.13096988067297374,0.13111404538126403,0.0018456966915635633,0.09630071895231593,0.13370270450910698,0.07044468002170982,0.1416727541339836,0.06815603683677553,0.2068436413158839,0.19432414804803236,0.06344839920551061,0.19489125243741479,0.16542099898192605,0.209669933357032,0.13291749206209447,0.03694121073139268,0.01961480738871202
2010,0.13421899476372887,0.12281099630277398,0.0983456800489366,0.10739364993701452,0.01560755184913658,0.10786074451732362,0.10803892609540935,0.006900147176176663,0.08073496780444679,0.10267124187791159,0.07743050916518505,0.09906150783327154,0.05050690768200525,0.1384558536765514,0.1326843218979235,0.0559420184536591,0.13459088270615496,0.1291829249890154,0.13103113122543378,0.10767978785202499,0.033257577441286455,0.9826651627283888
2011,0.14181202358365513,0.14331260455340963,0.08691857184875244,0.0970129177571281,0.02102403497996306,0.11107828695622293,0.11134023505075595,0.007887340511559402,0.08240273753825862,0.09115172070561836,0.07049201415155974,0.1209380342995442,0.04666030561556504,0.14715925442619782,0.13683943055011955,0.07770792522104913,0.1806996221938546,0.10228274757012382,0.14538838942952292,0.15560177820295973,0.050508254842919265,0.0029239288312460482
2012,0.09002136605633221,0.10376008732220604,0.06600749791924494,0.06554013902093278,0.01598271209321499,0.0875999298078286,0.08804132143201991,0.002725574122042694,0.10225736007234563,0.0743498338741121,0.057985489798359616,0.10558074735062269,0.0327256965145269,0.10092335704030948,0.10017080173157658,0.051714737012242884,0.1432322539681653,0.05863455981932902,0.10204565020620254,0.08671256166787217,0.04607991299168457,0.002480695800318821
2013,0.09862766001508864,0.1149980330299465,0.07392654990561058,0.05704812524106925,0.010518304931105709,0.0752072502597335,0.07565838995057497,0.0020559816043573867,0.1260774814990707,0.11642117439122945,0.07313369886849698,0.10017833606223162,0.03574422789961027,0.11058861496824918,0.11311825242248205,0.04578732471544507,0.12532053161400372,0.0641834778305702,0.10600618752977754,0.08988239182625771,0.058569212667614785,0.4594821275082632
2014,0.07733605261242717,0.13105655924953286,0.05113771623307452,0.059650316328658706,0.019027516024312758,0.05789024967959773,0.05800516064665347,0.0027159784491597085,0.06345787473609708,0.07670781577703037,0.0530839004179137,0.06611532203197715,0.027117300482321076,0.08433865843492395,0.0795287843405378,0.03682026485841886,0.10329903633049814,0.06769531766550378,0.07116747723294797,0.06424631612074806,0.037752730468475826,0.0
2015,0.1281829595795884,0.19730922365745765,0.08234547585258081,0.09082955277345371,0.027929706327337496,0.11748585489722649,0.11828230663361165,0.003090279389129998,0.0568223231330379,0.08435776300809508,0.112641229842332,0.10600221123163409,0.06777345154544413,0.1383338353188062,0.14524582341729766,0.06751071052656793,0.15198568991041997,0.10158656245978484,0.1200810814746432,0.17388315150994904,0.0493527801793262,0.0
2016,0.11516968902216297,0.17950004389100382,0.13876375641230682,0.10033298546941084,0.03163667049467855,0.08618858987736173,0.08711326991396763,0.007704032562639933,0.04902092630166817,0.12464841367037782,0.09055663720726069,0.1644485823788684,0.06276081464043859,0.12616506906515226,0.11562611721944453,0.0666474176515463,0.21004228180600257,0.1085691443331363,0.09865799653408325,0.0823617324826944,0.044526246630340854,0.5771019052231928
2017,0.07442512768383143,0.134104451781568,0.08028702191201283,0.06709534250573289,0.03330189261604501,0.07171599356355582,0.07163170522284128,0.005210105605795898,0.04133761486671553,0.08702363356544504,0.029522408420817606,0.10472858659902237,0.046861825333606305,0.08600242744826489,0.07704615985185746,0.04347799101651823,0.1558478189527606,0.07904805382090056,0.07904041049601823,0.06855652043891892,0.0356041207519535,0.0
2018,0.07658724927214815,0.14457637718640906,0.07594058682504484,0.06746716221369792,0.047037297996113094,0.06338928776111616,0.06412602707286819,0.006620441573293604,0.0644581831110229,0.061604043482062804,0.03356734019827146,0.1187996700392821,0.040608059659412006,0.08036131734491922,0.08233854685428614,0.04077720205195908,0.1607013607917376,0.0743264970727992,0.08950623821124926,0.056607664504499285,0.04978751707556247,328.42006084656674
2019,0.06591451506882841,0.11643772083598504,0.0812855593953395,0.04803271709158159,0.03858744689110307,0.0464088449867927,0.04620916564890727,0.0071206540573572116,0.05669706430154514,0.0535113256758769,0.03045772005764869,0.08574435068049147,0.03490325261806695,0.07275985688878826,0.07307912949251424,0.029132830719810203,0.12640292967792296,0.0645969316243768,0.0682231090844194,0.05340201412187278,0.04303292809529937,0.9274541606585412
2020,0.123249307116668,0.1997688379206773,0.10924689570582646,0.08107329008131245,0.044681954938156326,0.07256219783950045,0.07222793003579288,0.005367030184848638,0.06030908131899493,0.07950193401482529,0.05333368034745427,0.1913957966935314,0.03351388328595711,0.12322652898649533,0.17335116537251957,0.048194513347972326,0.16522003924269416,0.08199784086706582,0.10581246090077462,0.07066394827789776,0.054534415077994954,0.48405650751031665
2021,0.11134239957379309,0.1698389550898277,0.06609170195802401,0.06714722583125413,0.0442165351041063,0.05562881986848876,0.05584973228010256,0.0016412981426742338,0.05003625698548018,0.05006166169757571,0.03788978047954752,0.11086342934099504,0.01768078794575176,0.10675601470744807,0.11740672030672208,0.039550192371706844,0.14674402027478745,0.06666143310658706,0.0876671565153509,0.050126328305982425,0.03937410580820446,0.6147801472718496
